Nome,Altezza,Peso,BMI,@#
Sergio Parisse,195,110,"28,93",
Tommaso Allan,184,87,"25,70",
Robert Barbieri,185,107,"31,26",
Tommaso Benvenuti,187,95,"27,17",
Mirco Bergamasco,181,94,"28,69",
Mauro Bergamasco,183,102,"30,46",
Marco Bertolami,196,112,"29,15",
Tobias Weitz Botes,180,87,"26,85",
Martin Castrogiovanni,187,117,"33,46",
Michele Campagnaro,184,88,"25,99",
Lorenzo Cittadini,191,118,"32,35",
Alberto de Marchi,183,113,"33,74",
Angelo Esposito,187,90,"25,74",
Paul Derbyshire,191,102,"27,96",
Joshua Furno,200,114,"28,50",
Marco Fuser,198,116,"29,59",
Gonzalo Garcia,186,98,"28,33",
Quintin Geldenhuys,203,126,"30,58",
Gonzalo Garcia,186,98,"28,33",
Leonardo Ghiraldini,183,102,"30,46",
Davide Giazzon,183,108,"32,25",
Tommaso Iannone,182,83,"25,06",
Edoardo Gori,180,83,"25,62",
Luke Mclean,190,95,"26,32",
Luciano Orquera,171,79,"27,02",
Antonio Pavanello,195,112,"29,45",
Guglielmo Palazzini,173,85,"28,40",
Michele Rizzo,188,108,"30,56",
Leonardo Sarto,192,91,"24,69",
Alessando Zanni,193,107,"28,73",
Alberto Sgarbi,191,102,"27,96"
